Title,Budget,Total Gross,Released,Profit,Pure Profit
Split,5000000,278964806,2017,273964806,98.20765921275388
Get Out,5000000,255367951,2017,250367951,98.0420409137402
A Ghost Story,100000,2769782,2017,2669782,96.3896075575623
Truth or Dare,3500000,95127344,2018,91627344,96.32072141108029
Halloween,10000000,254900667,2018,244900667,96.07690316479243
Happy Death Day,5000000,125010260,2017,120010260,96.0003282930537
Annabelle: Creation,15000000,305384865,2017,290384865,95.08816522390525
It,35000000,697457969,2017,662457969,94.98177645741403
A Quiet Place,17000000,334522294,2018,317522294,94.91812644331561
Insidious: The Last Key,10000000,167885588,2018,157885588,94.04356257191057
