movie,release_month
Star Wars: The Last Jedi,12
Avengers: Infinity War,4
Justice League,11
Solo: A Star Wars Story,5
Captain America: Civil War,5
Batman v Superman: Dawn of Justice,3
The Fate of the Furious,4
Pirates of the Caribbean: Dead Men Tell No Tales,5
Transformers: The Last Knight,6
Black Panther,2
Rogue One: A Star Wars Story,12
Fantastic Beasts: The Crimes of Grindelwald,11
The Mummy,6
Kong: Skull Island,3
Star Trek Beyond,7
Blade Runner 2049,10
Thor: Ragnarok,11
Fantastic Beasts and Where to Find Them,11
The Legend of Tarzan,7
Valerian and the City of a Thousand Planets,7
X-Men: Apocalypse,5
The Meg,8
The Jungle Book,4
Spider-Man: Homecoming,7
Suicide Squad,8
King Arthur: Legend of the Sword,5
Jurassic World: Fallen Kingdom,6
Alice Through the Looking Glass,5
Doctor Strange,11
Independence Day: Resurgence,6
Aquaman,12
Warcraft,6
Deepwater Horizon,9
Pacific Rim: Uprising,3
Wonder Woman,6
Dunkirk,7
Ready Player One,3
The Great Wall,2
Ghostbusters,7
The BFG,7
Gods of Egypt,2
Teenage Mutant Ninja Turtles: Out of the Shadows,6
The Nutcracker and the Four Realms,11
Ant-Man and the Wasp,7
Logan,3
Skyscraper,7
Monster Trucks,1
Jason Bourne,7
Rampage,4
Power Rangers,3
Venom,10
Deadpool 2,5
Ghost in the Shell,3
Allied,11
Kingsman: The Golden Circle,9
A Wrinkle in Time,3
Bumblebee,12
Geostorm,10
Mortal Engines,12
Robin Hood,11
Ben-Hur,8
Jumanji: Welcome to the Jungle,12
The Magnificent Seven,9
Now You See Me 2,6
Tomb Raider,3
The Predator,9
xXx: Return of Xander Cage,1
Renegades,1
The Equalizer 2,7
Christopher Robin,8
The Angry Birds Movie,5
The Finest Hours,1
Air Strike,10
American Assassin,9
Maze Runner: The Death Cure,1
London Has Fallen,3
Jack Reacher: Never Go Back,10
Baywatch,5
The Dark Tower,8
Deadpool,2
Alpha,8
Central Intelligence,6
13 Hours: The Secret Soldiers of Benghazi,1
American Made,9
Free State of Jones,6
Snatched,5
Holmes & Watson,12
Ride Along 2,1
The Commuter,1
Patriots Day,12
Resident Evil: The Final Chapter,1
Mechanic: Resurrection,8
The Hurricane Heist,3
USS Indianapolis: Men of Courage,11
The 5th Wave,1
Sicario: Day of the Soldado,6
Goosebumps 2: Haunted Halloween,10
12 Strong,1
Mile 22,8
The Foreigner,10
Adrift,6
Underworld: Blood Wars,1
Baby Driver,6
Criminal,4
Birth of the Dragon,8
Atomic Blonde,7
Den of Thieves,1
Death Wish,3
Proud Mary,1
Baahubali 2: The Conclusion,4
The Lost City of Z,4
The Space Between Us,2
Kin,8
Bilal: A New Breed of Hero,2
Collide,2
Logan Lucky,8
Peppermint,9
CHiPS,3
Jane Got a Gun,1
Eddie the Eagle,2
Just Getting Started,12
Nerve,7
Triple 9,2
Sausage Party,8
Midnight Special,3
I Am Wrath,4
Keanu,4
Hotel Artemis,6
The First Purge,7
Operation Chromite,8
The Purge: Election Year,7
Max Steel,10
Free Fire,4
Kicks,9
Dangal,12
Destroyer,12
Dragon Ball Super: Broly,1
Lean on Pete,4
El Chicano,5
Breaking In,5
Race,2
The Belko Experiment,3
The Masked Saint,1
Upgrade,6
Swiss Army Man,6
Compadres,4
Hunt for the Wilderpeople,6
Hardcore Henry,4
Teefa in Trouble,7
Higher Power,5
Sleight,4
